ID_by_nicolas,ID_country,Period,Country
1,FR_62,Bell Beaker,FR
2,FR_22,Bell Beaker,FR
3,FR_49,Bell Beaker,FR
4,FR_18,Bell Beaker,FR
5,FR_40,Bell Beaker,FR
6,FR_59,Bell Beaker,FR
7,FR_32,Bell Beaker,FR
8,FR_34,Bell Beaker,FR
9,FR_18,Bell Beaker,FR
10,FR_37,Bronze A1 1,FR
11,FR_26,Bronze A1 1,FR
12,FR_20,Bronze A1 1,FR
13,FR_26,Bronze A1 1,FR
14,FR_04,Bronze A1 1,FR
15,NA,Bronze A1 1,FR
16,FR_31,Bronze A1 1,FR
17,FR_31,Bronze A1 1,FR
18,FR_02,Bronze A2 2,FR
19,FR_38,Bronze A2 2,FR
20,FR_39,Bronze A2 2,FR
21,FR_64,Bronze A2 3,FR
22,FR_29,Bronze A2 3,FR
23,FR_29,Bronze A2 3,FR
1,UK_37,1,UK
2,UK_34,1,UK
3,UK_37,1,UK
4,UK_37,1,UK
5,UK_37,1,UK
6,UK_11,1,UK
7,UK_34,1,UK
8,UK_37,1,UK
9,UK_37,1,UK
10,UK_62,2,UK
11,UK_05,2,UK
12,UK_25,2,UK
13,UK_30,2,UK
14,UK_01,2,UK
15,UK_24,2,UK
16,UK_39,2,UK
17,UK_17,2,UK
18,UK_62,2,UK
19,UK_30,2,UK
20,UK_56,2,UK
21,UK_16,3,UK
22,UK_46,3,UK
23,UK_16,3,UK
24,UK_31,3,UK
25,UK_60,3,UK
26,UK_60,3,UK
27,UK_60,3,UK
28,UK_49,3,UK
29,UK_61,4,UK
30,UK_28,4,UK
